1605920340000,2020-11-21 00:59:00,BTC/USDT,18810.00000000,18862.63000000,18809.99000000,18860.56000000,338.25878600,6372962.77781954,4005
1605920280000,2020-11-21 00:58:00,BTC/USDT,18799.42000000,18810.00000000,18799.42000000,18809.99000000,241.95927100,4550362.28816874,2166
1605920220000,2020-11-21 00:57:00,BTC/USDT,18793.88000000,18800.00000000,18783.50000000,18799.42000000,88.98690900,1672605.86122144,1096
1605920160000,2020-11-21 00:56:00,BTC/USDT,18778.48000000,18796.12000000,18777.63000000,18794.81000000,57.68323300,1083630.33751383,801
1605920100000,2020-11-21 00:55:00,BTC/USDT,18763.33000000,18785.65000000,18759.76000000,18778.48000000,114.67864100,2152448.41829517,979
1605920040000,2020-11-21 00:54:00,BTC/USDT,18747.64000000,18776.78000000,18745.98000000,18763.34000000,47.16541500,884878.67501263,848
1605919980000,2020-11-21 00:53:00,BTC/USDT,18737.92000000,18757.00000000,18737.50000000,18747.64000000,44.72542300,838570.44016555,762
1605919920000,2020-11-21 00:52:00,BTC/USDT,18728.48000000,18750.50000000,18725.99000000,18737.92000000,70.20774700,1315836.30300235,793
1605919860000,2020-11-21 00:51:00,BTC/USDT,18749.01000000,18757.49000000,18713.39000000,18728.48000000,100.10713700,1875393.94736985,1450
1605919800000,2020-11-21 00:50:00,BTC/USDT,18770.00000000,18770.00000000,18729.21000000,18749.01000000,83.61019000,1567372.29939689,1517
1605919740000,2020-11-21 00:49:00,BTC/USDT,18786.91000000,18791.85000000,18763.00000000,18769.99000000,50.22047100,943222.09869952,1135
1605919680000,2020-11-21 00:48:00,BTC/USDT,18779.70000000,18788.83000000,18776.00000000,18785.56000000,32.87957900,617556.45350532,858
1605919620000,2020-11-21 00:47:00,BTC/USDT,18785.71000000,18793.98000000,18778.84000000,18779.70000000,56.99787000,1070867.12696003,827
1605919560000,2020-11-21 00:46:00,BTC/USDT,18785.78000000,18786.98000000,18778.28000000,18785.71000000,31.55500100,592708.93231200,636
1605919500000,2020-11-21 00:45:00,BTC/USDT,18779.00000000,18790.00000000,18779.00000000,18785.79000000,64.95125400,1220124.81151508,1086
1605919440000,2020-11-21 00:44:00,BTC/USDT,18761.07000000,18780.00000000,18757.70000000,18779.00000000,55.78114800,1046694.24843904,773
1605919380000,2020-11-21 00:43:00,BTC/USDT,18773.85000000,18776.83000000,18753.65000000,18761.07000000,54.55566300,1023598.51375662,764
1605919320000,2020-11-21 00:42:00,BTC/USDT,18775.00000000,18779.82000000,18764.11000000,18773.85000000,70.64629300,1326383.31461634,924
1605919260000,2020-11-21 00:41:00,BTC/USDT,18756.96000000,18775.00000000,18756.80000000,18775.00000000,63.37624300,1189296.09192560,1271
1605919200000,2020-11-21 00:40:00,BTC/USDT,18751.23000000,18758.00000000,18751.23000000,18756.96000000,37.49952600,703280.27523350,393
1605919140000,2020-11-21 00:39:00,BTC/USDT,18748.88000000,18752.36000000,18740.07000000,18751.23000000,35.20044500,659845.57647700,788
1605919080000,2020-11-21 00:38:00,BTC/USDT,18751.97000000,18755.62000000,18740.60000000,18748.85000000,42.92288800,804717.09257371,946
1605919020000,2020-11-21 00:37:00,BTC/USDT,18750.91000000,18756.69000000,18740.96000000,18751.97000000,57.05551900,1069774.60360090,869
1605918960000,2020-11-21 00:36:00,BTC/USDT,18741.39000000,18755.04000000,18736.31000000,18750.92000000,33.71909300,632059.17531031,888
1605918900000,2020-11-21 00:35:00,BTC/USDT,18736.23000000,18742.08000000,18730.02000000,18741.39000000,46.99361100,880437.03637726,655
1605918840000,2020-11-21 00:34:00,BTC/USDT,18737.70000000,18737.71000000,18720.01000000,18736.23000000,36.65659600,686636.79671106,702
1605918780000,2020-11-21 00:33:00,BTC/USDT,18745.16000000,18746.50000000,18734.76000000,18737.25000000,23.64491300,443096.34694030,621
1605918720000,2020-11-21 00:32:00,BTC/USDT,18729.85000000,18746.50000000,18727.62000000,18745.17000000,44.25939700,829377.53451347,745
1605918660000,2020-11-21 00:31:00,BTC/USDT,18739.15000000,18741.50000000,18725.62000000,18729.85000000,47.04891400,881450.32686935,711
1605918600000,2020-11-21 00:30:00,BTC/USDT,18756.00000000,18761.22000000,18730.11000000,18739.15000000,54.28058300,1017462.06234044,1094
1605918540000,2020-11-21 00:29:00,BTC/USDT,18743.98000000,18759.00000000,18739.00000000,18756.00000000,53.57658900,1004558.85598751,843
1605918480000,2020-11-21 00:28:00,BTC/USDT,18750.00000000,18757.70000000,18738.51000000,18744.37000000,144.60507900,2711284.26026073,1297
1605918420000,2020-11-21 00:27:00,BTC/USDT,18746.70000000,18750.00000000,18742.00000000,18750.00000000,31.85513100,597225.18109318,577
1605918360000,2020-11-21 00:26:00,BTC/USDT,18736.44000000,18750.00000000,18729.53000000,18746.69000000,53.04604700,994228.81282706,931
1605918300000,2020-11-21 00:25:00,BTC/USDT,18746.87000000,18748.00000000,18734.28000000,18736.44000000,23.71418200,444458.26687609,737
1605918240000,2020-11-21 00:24:00,BTC/USDT,18749.97000000,18749.97000000,18732.27000000,18746.58000000,46.88506000,878695.48996776,963
1605918180000,2020-11-21 00:23:00,BTC/USDT,18724.98000000,18750.00000000,18724.72000000,18749.97000000,51.64243200,967651.80511446,1341
1605918120000,2020-11-21 00:22:00,BTC/USDT,18727.80000000,18727.80000000,18709.00000000,18724.99000000,68.70791500,1286310.14388197,913
1605918060000,2020-11-21 00:21:00,BTC/USDT,18734.20000000,18734.20000000,18710.56000000,18728.14000000,50.35029300,942616.11988210,1148
1605918000000,2020-11-21 00:20:00,BTC/USDT,18716.99000000,18745.00000000,18713.51000000,18731.85000000,139.23076000,2607872.09585729,1904
1605917940000,2020-11-21 00:19:00,BTC/USDT,18712.32000000,18720.00000000,18695.50000000,18716.99000000,70.66127000,1322134.54178803,1609
1605917880000,2020-11-21 00:18:00,BTC/USDT,18695.70000000,18720.00000000,18695.70000000,18712.32000000,133.83205800,2503603.91285858,2277
1605917820000,2020-11-21 00:17:00,BTC/USDT,18665.86000000,18699.47000000,18659.09000000,18695.70000000,41.31888600,771719.10895717,1161
1605917760000,2020-11-21 00:16:00,BTC/USDT,18635.16000000,18665.84000000,18635.14000000,18664.27000000,45.66844100,851620.19681379,1078
1605917700000,2020-11-21 00:15:00,BTC/USDT,18639.51000000,18640.82000000,18623.50000000,18635.15000000,23.37070700,435475.46842347,884
1605917640000,2020-11-21 00:14:00,BTC/USDT,18638.79000000,18645.00000000,18634.16000000,18640.91000000,24.48120100,456292.74932486,790
1605917580000,2020-11-21 00:13:00,BTC/USDT,18630.74000000,18643.07000000,18629.88000000,18638.87000000,45.18972600,842151.95340646,929
1605917520000,2020-11-21 00:12:00,BTC/USDT,18630.85000000,18633.50000000,18623.53000000,18630.74000000,15.66058200,291744.01579544,766
1605917460000,2020-11-21 00:11:00,BTC/USDT,18625.99000000,18635.49000000,18625.44000000,18630.85000000,18.35726800,341981.33971336,780
1605917400000,2020-11-21 00:10:00,BTC/USDT,18640.20000000,18647.77000000,18620.46000000,18625.99000000,48.98211600,912729.88807508,1144
1605917340000,2020-11-21 00:09:00,BTC/USDT,18652.36000000,18655.85000000,18639.11000000,18640.20000000,28.78281800,536758.14997692,758
1605917280000,2020-11-21 00:08:00,BTC/USDT,18641.31000000,18652.36000000,18641.30000000,18652.36000000,20.40194500,380458.26213754,743
1605917220000,2020-11-21 00:07:00,BTC/USDT,18649.34000000,18654.29000000,18630.75000000,18641.25000000,39.07834000,728543.56928796,927
1605917160000,2020-11-21 00:06:00,BTC/USDT,18650.63000000,18660.31000000,18649.27000000,18649.34000000,12.57436000,234576.58526449,557
1605917100000,2020-11-21 00:05:00,BTC/USDT,18662.72000000,18668.76000000,18637.23000000,18650.27000000,43.81212100,817005.56589161,968
1605917040000,2020-11-21 00:04:00,BTC/USDT,18666.05000000,18676.27000000,18655.16000000,18662.72000000,44.74430200,835098.31734818,728
1605916980000,2020-11-21 00:03:00,BTC/USDT,18680.76000000,18688.04000000,18665.29000000,18666.04000000,18.83546600,351849.02979745,749
1605916920000,2020-11-21 00:02:00,BTC/USDT,18677.00000000,18687.15000000,18660.50000000,18680.93000000,20.41839400,381292.61507865,1106
1605916860000,2020-11-21 00:01:00,BTC/USDT,18685.14000000,18696.03000000,18660.42000000,18676.99000000,64.04776400,1196412.96095822,1372
1605916800000,2020-11-21 00:00:00,BTC/USDT,18655.66000000,18692.80000000,18654.50000000,18685.14000000,72.59348500,1355852.60786854,1406
